"participant"	"gender"	"age"	"options"	"accuracy"	"RT_msec"
"169"	8	"male"	18	"BD"	1	735
"170"	8	"male"	18	"AB"	1	1061
"171"	8	"male"	18	"AB"	1	1607
"172"	8	"male"	18	"CD"	1	940
"173"	8	"male"	18	"BD"	1	874
"174"	8	"male"	18	"AC"	1	992
"175"	8	"male"	18	"AC"	1	819
"176"	8	"male"	18	"CD"	1	649
"177"	8	"male"	18	"BD"	1	924
"178"	8	"male"	18	"AB"	0	1355
"179"	8	"male"	18	"BD"	1	633
"180"	8	"male"	18	"BD"	1	599
"181"	8	"male"	18	"BD"	1	826
"182"	8	"male"	18	"AC"	1	804
"183"	8	"male"	18	"CD"	0	857
"184"	8	"male"	18	"CD"	0	702
"185"	8	"male"	18	"AB"	1	906
"186"	8	"male"	18	"CD"	0	836
"187"	8	"male"	18	"CD"	0	957
"188"	8	"male"	18	"AC"	1	1061
"189"	8	"male"	18	"AB"	1	1607
"190"	8	"male"	18	"BD"	1	737
"191"	8	"male"	18	"AC"	1	910
"24100"	8	"male"	18	"AB"	NA	NA
"575"	10	"male"	26	"AB"	1	1664
"576"	10	"male"	26	"CD"	0	811
"577"	10	"male"	26	"BD"	0	512
"578"	10	"male"	26	"CD"	1	822
"579"	10	"male"	26	"AB"	1	1424
"580"	10	"male"	26	"BD"	0	638
"581"	10	"male"	26	"BD"	1	685
"582"	10	"male"	26	"CD"	1	700
"583"	10	"male"	26	"BD"	1	1359
"584"	10	"male"	26	"CD"	0	600
"585"	10	"male"	26	"BD"	1	515
"586"	10	"male"	26	"AC"	0	1135
"587"	10	"male"	26	"CD"	1	564
"588"	10	"male"	26	"BD"	1	685
"589"	10	"male"	26	"CD"	0	535
"590"	10	"male"	26	"AB"	0	858
"591"	10	"male"	26	"AC"	0	1216
"592"	10	"male"	26	"AB"	0	1461
"593"	10	"male"	26	"BD"	1	614
"594"	10	"male"	26	"CD"	1	464
"595"	10	"male"	26	"AC"	0	1680
"596"	10	"male"	26	"CD"	1	1008
"597"	10	"male"	26	"BD"	0	874
"598"	10	"male"	26	"AC"	0	1112
"599"	10	"male"	26	"BD"	1	582
"600"	10	"male"	26	"CD"	1	551
"601"	10	"male"	26	"CD"	1	1249
"602"	10	"male"	26	"AC"	0	1214
"603"	10	"male"	26	"AB"	0	1390
"604"	10	"male"	26	"AC"	0	1366
"605"	10	"male"	26	"AC"	1	496
"606"	10	"male"	26	"CD"	0	1944
"607"	10	"male"	26	"CD"	1	445
"608"	10	"male"	26	"AB"	1	1594
"609"	10	"male"	26	"AC"	1	753
"610"	10	"male"	26	"BD"	1	427
"611"	10	"male"	26	"BD"	1	618
"612"	10	"male"	26	"AC"	0	1840
"613"	10	"male"	26	"BD"	1	582
"614"	10	"male"	26	"AB"	1	1717
"615"	10	"male"	26	"AC"	0	755
"616"	10	"male"	26	"CD"	0	1196
"617"	10	"male"	26	"BD"	1	480
"618"	10	"male"	26	"AC"	1	997
"619"	10	"male"	26	"CD"	0	855
"620"	10	"male"	26	"AC"	1	1300
"621"	10	"male"	26	"AB"	0	1539
"622"	10	"male"	26	"BD"	1	820
"623"	10	"male"	26	"CD"	1	634
"624"	10	"male"	26	"CD"	0	1614
"625"	10	"male"	26	"AB"	0	2074
"626"	10	"male"	26	"AC"	1	1010
"627"	10	"male"	26	"AB"	1	1436
"628"	10	"male"	26	"AB"	1	2160
"629"	10	"male"	26	"AB"	1	637
"630"	10	"male"	26	"BD"	1	1013
"631"	10	"male"	26	"CD"	0	1235
"632"	10	"male"	26	"AB"	1	1748
"633"	10	"male"	26	"AC"	1	995
"634"	10	"male"	26	"AB"	1	975
"635"	10	"male"	26	"AC"	1	852
"636"	10	"male"	26	"AC"	1	1199
"637"	10	"male"	26	"BD"	1	790
"638"	10	"male"	26	"BD"	1	444
"639"	10	"male"	26	"AB"	1	1027
"640"	10	"male"	26	"AC"	1	1029
"641"	10	"male"	26	"CD"	1	667
"642"	10	"male"	26	"CD"	1	462
"643"	10	"male"	26	"AB"	0	905
"644"	10	"male"	26	"AB"	1	617
"645"	10	"male"	26	"AC"	1	1097
"646"	10	"male"	26	"CD"	1	685
"647"	10	"male"	26	"CD"	1	1045
"648"	10	"male"	26	"BD"	1	442
"649"	10	"male"	26	"CD"	1	564
"650"	10	"male"	26	"AB"	1	649
"651"	10	"male"	26	"CD"	1	498
"652"	10	"male"	26	"CD"	1	495
"653"	10	"male"	26	"CD"	1	500
"654"	10	"male"	26	"BD"	1	616
"655"	10	"male"	26	"CD"	1	545
"656"	10	"male"	26	"BD"	1	583
"657"	10	"male"	26	"AC"	1	1095
"658"	10	"male"	26	"BD"	1	564
"659"	10	"male"	26	"AB"	1	633
"660"	10	"male"	26	"BD"	1	993
"661"	10	"male"	26	"CD"	1	1047
"662"	10	"male"	26	"BD"	1	615
"663"	10	"male"	26	"AC"	0	788
"664"	10	"male"	26	"AB"	1	1095
"665"	10	"male"	26	"AC"	1	1012
"666"	10	"male"	26	"AC"	1	1645
"667"	10	"male"	26	"CD"	1	651
"668"	10	"male"	26	"BD"	1	1302
"669"	10	"male"	26	"AB"	1	1882
"670"	10	"male"	26	"BD"	1	1659
"671"	10	"male"	26	"CD"	1	667
"672"	10	"male"	26	"CD"	1	668
"673"	10	"male"	26	"AC"	1	886
"674"	10	"male"	26	"BD"	1	737
"675"	10	"male"	26	"AB"	1	1816
"676"	10	"male"	26	"AB"	1	959
"677"	10	"male"	26	"AB"	1	906
"678"	10	"male"	26	"CD"	1	1763
"679"	10	"male"	26	"BD"	1	1544
"680"	10	"male"	26	"BD"	1	878
"681"	10	"male"	26	"AC"	1	1007
"682"	10	"male"	26	"BD"	1	1131
"683"	10	"male"	26	"AC"	1	962
"684"	10	"male"	26	"AB"	1	1677
"685"	10	"male"	26	"BD"	1	925
"686"	10	"male"	26	"AB"	1	1589
"687"	10	"male"	26	"AC"	1	768
"688"	10	"male"	26	"CD"	1	1509
"689"	10	"male"	26	"AB"	1	1661
"690"	10	"male"	26	"AC"	1	1218
"691"	10	"male"	26	"AC"	1	1007
"692"	10	"male"	26	"AB"	1	958
"693"	10	"male"	26	"AB"	1	2002
"694"	10	"male"	26	"AC"	1	1047
"695"	10	"male"	26	"AC"	1	1096
"696"	10	"male"	26	"CD"	1	1091
"697"	10	"male"	26	"BD"	1	497
"698"	10	"male"	26	"BD"	1	1440
"699"	10	"male"	26	"AB"	1	1180
"700"	10	"male"	26	"CD"	1	1131
"701"	10	"male"	26	"CD"	1	395
"702"	10	"male"	26	"BD"	1	532
"703"	10	"male"	26	"CD"	1	989
"704"	10	"male"	26	"AC"	1	1162
"705"	10	"male"	26	"AC"	1	1289
"706"	10	"male"	26	"AB"	0	1147
"707"	10	"male"	26	"AC"	1	1421
"708"	10	"male"	26	"AB"	1	925
"709"	10	"male"	26	"BD"	1	1148
"710"	10	"male"	26	"BD"	1	1058
"711"	10	"male"	26	"CD"	1	1080
"712"	10	"male"	26	"CD"	1	720
"713"	10	"male"	26	"AC"	0	1043
"714"	10	"male"	26	"AC"	1	515
"715"	10	"male"	26	"AB"	0	1557
"716"	10	"male"	26	"BD"	1	1059
"717"	10	"male"	26	"BD"	1	838
"718"	10	"male"	26	"CD"	1	1236
"719"	10	"male"	26	"BD"	1	463
"720"	10	"male"	26	"AB"	1	1267
"721"	10	"male"	26	"BD"	1	494
"722"	10	"male"	26	"AC"	1	957
"723"	10	"male"	26	"BD"	1	776
"724"	10	"male"	26	"AC"	1	920
"725"	10	"male"	26	"AB"	1	1373
"726"	10	"male"	26	"AC"	1	888
"727"	10	"male"	26	"CD"	1	360
"728"	10	"male"	26	"CD"	1	645
"729"	10	"male"	26	"AC"	1	771
"730"	10	"male"	26	"AB"	1	993
"731"	10	"male"	26	"AC"	1	889
"732"	10	"male"	26	"AC"	1	1064
"733"	10	"male"	26	"BD"	1	855
"734"	10	"male"	26	"AB"	0	1101
"735"	10	"male"	26	"CD"	1	654
"736"	10	"male"	26	"CD"	1	597
"737"	10	"male"	26	"AB"	1	1215
"738"	10	"male"	26	"BD"	1	394
"739"	10	"male"	26	"AB"	1	1647
"740"	10	"male"	26	"AC"	1	914
"741"	10	"male"	26	"CD"	1	340
"742"	10	"male"	26	"AC"	1	1061
"743"	10	"male"	26	"CD"	1	820
"744"	10	"male"	26	"BD"	0	909
"745"	10	"male"	26	"BD"	1	614
"746"	10	"male"	26	"AB"	1	943
"747"	10	"male"	26	"AB"	1	1375
"748"	10	"male"	26	"AC"	1	923
"749"	10	"male"	26	"AB"	1	805
"750"	10	"male"	26	"AC"	NA	NA
"751"	10	"male"	26	"CD"	1	621
"752"	10	"male"	26	"AB"	1	1037
"753"	10	"male"	26	"AB"	1	909
"754"	10	"male"	26	"AC"	1	1108
"755"	10	"male"	26	"BD"	1	412
"756"	10	"male"	26	"AB"	1	905
"757"	10	"male"	26	"AC"	1	1234
"758"	10	"male"	26	"AC"	1	1647
"759"	10	"male"	26	"AB"	1	768
"760"	10	"male"	26	"CD"	1	757
"761"	10	"male"	26	"BD"	1	721
"762"	10	"male"	26	"BD"	1	444
"763"	10	"male"	26	"CD"	1	633
"764"	10	"male"	26	"AB"	1	1132
"765"	10	"male"	26	"AB"	1	1283
"766"	10	"male"	26	"BD"	1	379
"767"	12	"female"	21	"AC"	0	1115
"768"	12	"female"	21	"AB"	1	1338
"769"	12	"female"	21	"AC"	0	769
"770"	12	"female"	21	"BD"	1	2274
"771"	12	"female"	21	"AC"	0	925
"772"	12	"female"	21	"BD"	0	685
"773"	12	"female"	21	"CD"	1	991
"774"	12	"female"	21	"AC"	NA	NA
"775"	12	"female"	21	"AC"	1	584
"776"	12	"female"	21	"AB"	0	942
"777"	12	"female"	21	"BD"	0	735
"778"	12	"female"	21	"CD"	1	990
"779"	12	"female"	21	"AC"	1	907
"780"	12	"female"	21	"AB"	1	1475
"781"	12	"female"	21	"AC"	1	547
"782"	12	"female"	21	"BD"	1	633
"783"	12	"female"	21	"AC"	1	670
"784"	12	"female"	21	"AC"	1	1283
"785"	12	"female"	21	"AB"	0	704
"786"	12	"female"	21	"BD"	1	631
"787"	12	"female"	21	"AB"	1	760
"788"	12	"female"	21	"AB"	1	1300
"789"	12	"female"	21	"CD"	1	1403
"790"	12	"female"	21	"AC"	1	532
"791"	12	"female"	21	"AB"	0	563
"792"	12	"female"	21	"CD"	0	529
"793"	12	"female"	21	"BD"	1	636
"794"	12	"female"	21	"AC"	1	379
"795"	12	"female"	21	"AB"	1	893
"796"	12	"female"	21	"AB"	1	772
"797"	12	"female"	21	"AC"	1	874
"798"	12	"female"	21	"AB"	1	519
"799"	12	"female"	21	"AB"	1	465
"800"	12	"female"	21	"CD"	0	889
"801"	12	"female"	21	"AC"	0	565
"802"	12	"female"	21	"AC"	1	623
"803"	12	"female"	21	"AB"	0	652
"804"	12	"female"	21	"CD"	0	701
"805"	12	"female"	21	"CD"	1	529
"806"	12	"female"	21	"BD"	1	652
"807"	12	"female"	21	"CD"	1	399
"808"	12	"female"	21	"AC"	1	1205
"809"	12	"female"	21	"BD"	1	564
"810"	12	"female"	21	"CD"	0	600
"811"	12	"female"	21	"CD"	1	927
"812"	12	"female"	21	"AC"	1	1573
"813"	12	"female"	21	"AC"	0	802
"814"	12	"female"	21	"CD"	1	1557
"815"	12	"female"	21	"AC"	0	1142
"816"	12	"female"	21	"AB"	0	1728
"817"	12	"female"	21	"AC"	1	738
"818"	12	"female"	21	"AC"	0	957
"819"	12	"female"	21	"AC"	1	600
"820"	12	"female"	21	"CD"	0	650
"821"	12	"female"	21	"AB"	0	1850
"822"	12	"female"	21	"AC"	1	616
"823"	12	"female"	21	"AB"	0	1129
"824"	12	"female"	21	"AC"	1	585
"825"	12	"female"	21	"AC"	1	397
"826"	12	"female"	21	"BD"	0	718
"827"	12	"female"	21	"CD"	1	445
"828"	12	"female"	21	"AB"	0	1145
"829"	12	"female"	21	"AC"	1	530
"830"	12	"female"	21	"BD"	1	567
"831"	12	"female"	21	"CD"	1	465
"832"	12	"female"	21	"BD"	1	706
"833"	12	"female"	21	"AC"	1	1441
"834"	12	"female"	21	"CD"	0	689
"835"	12	"female"	21	"BD"	1	496
"836"	12	"female"	21	"BD"	1	431
"837"	12	"female"	21	"CD"	1	430
"838"	12	"female"	21	"AC"	1	926
"839"	12	"female"	21	"AC"	1	499
"840"	12	"female"	21	"AB"	0	1251
"841"	12	"female"	21	"BD"	1	478
"842"	12	"female"	21	"CD"	1	411
"843"	12	"female"	21	"CD"	1	376
"844"	12	"female"	21	"BD"	1	360
"845"	12	"female"	21	"CD"	1	446
"846"	12	"female"	21	"BD"	1	378
"847"	12	"female"	21	"BD"	NA	NA
"848"	12	"female"	21	"AC"	1	1075
"849"	12	"female"	21	"AB"	0	2071
"850"	12	"female"	21	"AC"	1	649
"851"	12	"female"	21	"CD"	NA	NA
"852"	12	"female"	21	"CD"	1	514
"853"	12	"female"	21	"BD"	1	412
"854"	12	"female"	21	"AB"	0	1269
"855"	12	"female"	21	"AB"	NA	NA
"856"	12	"female"	21	"CD"	0	615
"857"	12	"female"	21	"BD"	1	1042
"858"	12	"female"	21	"AB"	0	896
"859"	12	"female"	21	"CD"	1	598
"860"	12	"female"	21	"BD"	1	551
"861"	12	"female"	21	"AB"	0	1283
"862"	12	"female"	21	"BD"	1	497
"863"	12	"female"	21	"BD"	1	857
"864"	12	"female"	21	"BD"	1	446
"865"	12	"female"	21	"AB"	0	617
"866"	12	"female"	21	"AB"	0	635
"867"	12	"female"	21	"AB"	0	668
"868"	12	"female"	21	"BD"	1	498
"869"	12	"female"	21	"AB"	1	1062
"870"	12	"female"	21	"BD"	1	890
"871"	12	"female"	21	"CD"	0	1099
"872"	12	"female"	21	"CD"	0	616
"873"	12	"female"	21	"AC"	1	1302
"874"	12	"female"	21	"AB"	0	462
"875"	12	"female"	21	"CD"	1	1233
"876"	12	"female"	21	"AB"	0	1065
"877"	12	"female"	21	"AB"	0	620
"878"	12	"female"	21	"CD"	1	651
"879"	12	"female"	21	"CD"	1	429
"880"	12	"female"	21	"AB"	1	601
"881"	12	"female"	21	"BD"	1	857
"882"	12	"female"	21	"CD"	1	460
"883"	12	"female"	21	"CD"	0	530
"884"	12	"female"	21	"BD"	1	494
"885"	12	"female"	21	"AC"	1	994
"886"	12	"female"	21	"BD"	1	553
"887"	12	"female"	21	"CD"	1	448
"888"	12	"female"	21	"BD"	1	446
"889"	12	"female"	21	"BD"	1	514
"890"	12	"female"	21	"AB"	0	1629
"891"	12	"female"	21	"AB"	1	927
"892"	12	"female"	21	"AB"	1	701
"893"	12	"female"	21	"CD"	1	947
"894"	12	"female"	21	"AC"	1	621
"895"	12	"female"	21	"AC"	1	517
"896"	12	"female"	21	"BD"	1	741
"897"	12	"female"	21	"CD"	1	425
"898"	12	"female"	21	"CD"	1	514
"899"	12	"female"	21	"BD"	1	428
"900"	12	"female"	21	"AC"	1	684
"901"	12	"female"	21	"BD"	1	476
"902"	12	"female"	21	"BD"	1	430
"903"	12	"female"	21	"BD"	1	509
"904"	12	"female"	21	"AB"	NA	NA
"905"	12	"female"	21	"AB"	0	498
"906"	12	"female"	21	"AC"	1	564
"907"	12	"female"	21	"AC"	1	533
"908"	12	"female"	21	"AB"	1	670
"909"	12	"female"	21	"AB"	1	688
"910"	12	"female"	21	"BD"	1	518
"911"	12	"female"	21	"BD"	1	460
"912"	12	"female"	21	"BD"	1	430
"913"	12	"female"	21	"CD"	1	414
"914"	12	"female"	21	"AC"	1	787
"915"	12	"female"	21	"CD"	0	1390
"916"	12	"female"	21	"BD"	1	464
"917"	12	"female"	21	"AB"	0	822
"918"	12	"female"	21	"BD"	1	480
"919"	12	"female"	21	"BD"	1	549
"920"	12	"female"	21	"AB"	0	838
"921"	12	"female"	21	"CD"	1	481
"922"	12	"female"	21	"CD"	1	446
"923"	12	"female"	21	"BD"	1	427
"924"	12	"female"	21	"AC"	1	581
"925"	12	"female"	21	"AB"	1	880
"926"	12	"female"	21	"CD"	0	429
"927"	12	"female"	21	"AC"	1	448
"928"	12	"female"	21	"BD"	1	465
"929"	12	"female"	21	"CD"	1	463
"930"	12	"female"	21	"BD"	1	480
"931"	12	"female"	21	"CD"	1	375
"932"	12	"female"	21	"AC"	1	497
"933"	12	"female"	21	"CD"	1	616
"934"	12	"female"	21	"CD"	1	552
"935"	12	"female"	21	"CD"	1	391
"936"	12	"female"	21	"BD"	1	464
"937"	12	"female"	21	"AB"	0	772
"938"	12	"female"	21	"CD"	1	427
"939"	12	"female"	21	"CD"	1	479
"940"	12	"female"	21	"AC"	1	565
"941"	12	"female"	21	"AC"	1	566
"942"	12	"female"	21	"BD"	1	465
"943"	12	"female"	21	"AB"	0	600
"944"	12	"female"	21	"AC"	1	583
"945"	12	"female"	21	"AC"	1	415
"946"	12	"female"	21	"AC"	1	479
"947"	12	"female"	21	"AB"	1	823
"948"	12	"female"	21	"CD"	0	412
"949"	12	"female"	21	"BD"	1	735
"950"	12	"female"	21	"AB"	0	723
"951"	12	"female"	21	"BD"	1	702
"952"	12	"female"	21	"AC"	1	584
"953"	12	"female"	21	"AB"	1	1061
"954"	12	"female"	21	"AC"	1	516
"955"	12	"female"	21	"AB"	0	1577
"956"	12	"female"	21	"AB"	1	702
"957"	12	"female"	21	"AB"	1	960
"958"	12	"female"	21	"CD"	1	514
"1340"	16	"female"	25	"CD"	0	2826
"1341"	16	"female"	25	"AB"	NA	NA
"1342"	16	"female"	25	"CD"	0	653
"1343"	16	"female"	25	"AB"	0	768
"1344"	16	"female"	25	"BD"	1	913
"1345"	16	"female"	25	"CD"	0	1147
"1346"	16	"female"	25	"AC"	1	683
"1347"	16	"female"	25	"BD"	1	1299
"1348"	16	"female"	25	"AB"	0	1131
"1349"	16	"female"	25	"AC"	1	719
"1350"	16	"female"	25	"BD"	1	1355
"1351"	16	"female"	25	"AB"	0	1131
"1352"	16	"female"	25	"CD"	1	1987
"1353"	16	"female"	25	"BD"	1	1318
"1354"	16	"female"	25	"AB"	0	1251
"1355"	16	"female"	25	"AB"	1	1133
"1356"	16	"female"	25	"AB"	1	1643
"1357"	16	"female"	25	"CD"	0	1958
"1358"	16	"female"	25	"CD"	1	1470
"1359"	16	"female"	25	"BD"	0	1028
"1360"	16	"female"	25	"AB"	NA	NA
"1361"	16	"female"	25	"AC"	1	806
"1362"	16	"female"	25	"BD"	0	955
"1363"	16	"female"	25	"AB"	1	585
"1364"	16	"female"	25	"AC"	1	1300
"1365"	16	"female"	25	"AC"	1	752
"1366"	16	"female"	25	"BD"	0	1057
"1367"	16	"female"	25	"CD"	1	1096
"1368"	16	"female"	25	"AC"	1	1660
"1369"	16	"female"	25	"AC"	1	925
"1370"	16	"female"	25	"AB"	1	930
"1371"	16	"female"	25	"CD"	0	702
"1372"	16	"female"	25	"BD"	1	2593
"1373"	16	"female"	25	"CD"	1	920
"1374"	16	"female"	25	"AB"	1	1627
"1375"	16	"female"	25	"AC"	1	1470
"1376"	16	"female"	25	"AB"	1	1801
"1377"	16	"female"	25	"AC"	0	1829
"1378"	16	"female"	25	"AC"	1	963
"1379"	16	"female"	25	"CD"	1	823
"1380"	16	"female"	25	"AB"	1	1322
"1381"	16	"female"	25	"AC"	1	1065
"1382"	16	"female"	25	"CD"	1	1183
"1383"	16	"female"	25	"AC"	1	1049
"1384"	16	"female"	25	"AB"	1	1400
"1385"	16	"female"	25	"CD"	1	705
"1386"	16	"female"	25	"CD"	1	804
"1387"	16	"female"	25	"AC"	1	1680
"1388"	16	"female"	25	"CD"	1	1352
"1389"	16	"female"	25	"CD"	1	1352
"1390"	16	"female"	25	"AC"	1	2206
"1391"	16	"female"	25	"AC"	1	1013
"1392"	16	"female"	25	"AC"	1	1438
"1393"	16	"female"	25	"BD"	1	921
"1394"	16	"female"	25	"CD"	1	1454
"1395"	16	"female"	25	"AC"	1	1338
"1396"	16	"female"	25	"BD"	1	1438
"1397"	16	"female"	25	"BD"	0	2015
"1398"	16	"female"	25	"CD"	1	976
"1399"	16	"female"	25	"CD"	1	1200
"1400"	16	"female"	25	"CD"	1	1014
"1401"	16	"female"	25	"BD"	1	2026
"1402"	16	"female"	25	"CD"	0	1474
"1403"	16	"female"	25	"AB"	1	1494
"1404"	16	"female"	25	"AB"	1	980
"1405"	16	"female"	25	"BD"	1	1325
"1406"	16	"female"	25	"BD"	1	1251
"1407"	16	"female"	25	"AB"	1	1323
"1408"	16	"female"	25	"CD"	0	1405
"1409"	16	"female"	25	"CD"	0	1640
"1410"	16	"female"	25	"AB"	1	1248
"1411"	16	"female"	25	"CD"	1	1110
