"id"	"sex"	"age"	"attention"	"prime"	"prime.duration"	"grandparents"	"walk"	"walking.m"
"446"	446	"f"	21	0	"neutral"	30	"no"	36.4	0.606666666666667
"452"	452	"f"	22	1	"neutral"	5	"yes"	36.3	0.605
"453"	453	"f"	23	1	"neutral"	30	"none"	34.6	0.576666666666667
"458"	458	"f"	23	1	"neutral"	30	"no"	32.3	0.538333333333333
"462"	462	"f"	20	1	"neutral"	1	"none"	36	0.6
"463"	463	"f"	23	1	"neutral"	10	"no"	33.8	0.563333333333333
"464"	464	"f"	22	1	"neutral"	30	"yes"	34	0.566666666666667
"466"	466	"f"	22	1	"neutral"	10	"yes"	37.1	0.618333333333333
"476"	476	"f"	22	1	"neutral"	10	"none"	35.4	0.59
"477"	477	"f"	21	1	"neutral"	1	"none"	34.2	0.57
"480"	480	"f"	21	1	"neutral"	10	"none"	34.8	0.58
"483"	483	"f"	23	1	"neutral"	5	"none"	36.3	0.605
