"session"	"sex"	"age"	"haircolor"	"university"	"education"	"shirtless"	"intelligence"	"attractiveness"	"dateability"
5	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	82
5	"m"	21	"blonde"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"1.low"	"1.low"	17
5	"f"	25	"brown"	"2.Zurich"	"3.Masters"	"2.Yes"	"3.high"	"2.medium"	52
5	"f"	25	"red"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	77
5	"f"	29	"brown"	"3.Geneva"	"4.PhD"	"2.Yes"	"2.medium"	"3.high"	100
5	"m"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	37
5	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	51
5	"f"	22	"red"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
5	"m"	21	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"3.high"	"1.low"	27
5	"m"	29	"blonde"	"2.Zurich"	"4.PhD"	"1.No"	"1.low"	"1.low"	46
5	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	18
5	"m"	22	"red"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	81
6	"m"	19	"brown"	"2.Zurich"	"1.HighSchool"	"2.Yes"	"1.low"	"1.low"	0
6	"m"	21	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	28
6	"m"	18	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"1.low"	28
6	"f"	26	"red"	"1.Basel"	"3.Masters"	"1.No"	"3.high"	"3.high"	53
6	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	38
6	"m"	19	"blonde"	"2.Zurich"	"1.HighSchool"	"1.No"	"1.low"	"2.medium"	43
6	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	53
6	"m"	22	"red"	"1.Basel"	"3.Masters"	"1.No"	"3.high"	"3.high"	46
6	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	100
6	"f"	20	"blonde"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	30
6	"m"	24	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"2.medium"	"2.medium"	65
6	"m"	21	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	100
6	"f"	23	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"3.high"	"2.medium"	29
6	"f"	23	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	14
6	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	21
6	"f"	22	"red"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	87
6	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"2.medium"	43
6	"f"	22	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"3.high"	"1.low"	55
6	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	19
6	"f"	23	"red"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"2.medium"	58
7	"m"	18	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"1.low"	"2.medium"	50
7	"m"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	51
7	"m"	19	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	84
7	"f"	21	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	33
7	"m"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	91
7	"f"	25	"blonde"	"1.Basel"	"3.Masters"	"1.No"	"2.medium"	"3.high"	100
7	"f"	27	"brown"	"2.Zurich"	"4.PhD"	"1.No"	"2.medium"	"2.medium"	39
7	"m"	22	"red"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	45
7	"f"	19	"brown"	"3.Geneva"	"1.HighSchool"	"2.Yes"	"3.high"	"2.medium"	60
7	"m"	19	"blonde"	"3.Geneva"	"1.HighSchool"	"1.No"	"3.high"	"1.low"	66
7	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	64
7	"m"	22	"red"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	66
7	"m"	24	"brown"	"1.Basel"	"3.Masters"	"1.No"	"2.medium"	"1.low"	32
7	"m"	25	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"2.medium"	"3.high"	52
7	"f"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	72
7	"m"	22	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	12
7	"m"	25	"brown"	"1.Basel"	"3.Masters"	"1.No"	"3.high"	"3.high"	68
7	"f"	29	"blonde"	"3.Geneva"	"4.PhD"	"2.Yes"	"3.high"	"3.high"	100
7	"m"	28	"brown"	"3.Geneva"	"4.PhD"	"2.Yes"	"3.high"	"2.medium"	41
7	"f"	29	"red"	"3.Geneva"	"4.PhD"	"1.No"	"3.high"	"3.high"	49
8	"f"	21	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	38
8	"m"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	89
8	"f"	25	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"3.high"	"3.high"	33
8	"m"	28	"red"	"2.Zurich"	"4.PhD"	"2.Yes"	"1.low"	"1.low"	8
8	"f"	18	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	93
8	"m"	24	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"2.medium"	"2.medium"	58
8	"m"	25	"brown"	"2.Zurich"	"3.Masters"	"2.Yes"	"2.medium"	"2.medium"	12
8	"f"	21	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	43
8	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	48
8	"m"	24	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"3.high"	"1.low"	13
8	"m"	25	"brown"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	86
8	"m"	22	"red"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	47
8	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	71
8	"f"	19	"blonde"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	89
8	"m"	21	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	57
8	"m"	26	"red"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"3.high"	31
8	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
8	"f"	23	"blonde"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"1.low"	"2.medium"	100
8	"m"	20	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"3.high"	"2.medium"	65
8	"f"	28	"red"	"1.Basel"	"4.PhD"	"1.No"	"1.low"	"2.medium"	55
9	"f"	23	"brown"	"2.Zurich"	"3.Masters"	"2.Yes"	"1.low"	"1.low"	64
9	"f"	23	"blonde"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"1.low"	21
9	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	100
9	"f"	22	"red"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	58
9	"m"	24	"brown"	"2.Zurich"	"3.Masters"	"2.Yes"	"2.medium"	"1.low"	0
9	"f"	21	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	53
9	"m"	24	"brown"	"1.Basel"	"3.Masters"	"1.No"	"2.medium"	"3.high"	60
9	"f"	25	"red"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"1.low"	23
9	"m"	29	"brown"	"2.Zurich"	"4.PhD"	"1.No"	"2.medium"	"2.medium"	48
9	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	19
9	"f"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"1.low"	"1.low"	13
9	"f"	22	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	62
9	"f"	30	"brown"	"1.Basel"	"4.PhD"	"1.No"	"2.medium"	"3.high"	100
9	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	34
9	"f"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"3.high"	"2.medium"	30
9	"f"	22	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	41
9	"f"	29	"brown"	"3.Geneva"	"4.PhD"	"1.No"	"3.high"	"2.medium"	65
9	"f"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	37
9	"f"	21	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	45
9	"f"	22	"red"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
10	"f"	23	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	100
10	"f"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
10	"m"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	72
10	"m"	22	"red"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	93
10	"m"	30	"brown"	"2.Zurich"	"4.PhD"	"1.No"	"1.low"	"1.low"	28
10	"m"	21	"blonde"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"2.medium"	0
10	"m"	29	"brown"	"1.Basel"	"4.PhD"	"2.Yes"	"2.medium"	"3.high"	31
10	"m"	23	"red"	"2.Zurich"	"3.Masters"	"2.Yes"	"1.low"	"1.low"	45
10	"f"	24	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"1.low"	"2.medium"	76
10	"m"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	8
10	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	12
10	"m"	22	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	57
10	"m"	24	"brown"	"1.Basel"	"3.Masters"	"2.Yes"	"1.low"	"3.high"	7
10	"m"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	63
10	"f"	18	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"1.low"	38
10	"m"	22	"red"	"1.Basel"	"2.Bachelors"	"2.Yes"	"3.high"	"3.high"	59
10	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	28
10	"f"	20	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	100
10	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"3.high"	"1.low"	24
10	"m"	18	"red"	"1.Basel"	"1.HighSchool"	"2.Yes"	"3.high"	"3.high"	51
11	"f"	21	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	41
11	"f"	25	"blonde"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"1.low"	75
11	"m"	18	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"1.low"	"1.low"	37
11	"m"	24	"red"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"1.low"	51
11	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	71
11	"m"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"2.medium"	13
11	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"1.low"	"2.medium"	98
11	"m"	22	"red"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	67
11	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	63
11	"m"	21	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	58
11	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"1.low"	16
11	"f"	24	"red"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	100
11	"f"	18	"brown"	"3.Geneva"	"1.HighSchool"	"2.Yes"	"2.medium"	"2.medium"	85
11	"m"	19	"blonde"	"2.Zurich"	"1.HighSchool"	"1.No"	"1.low"	"3.high"	82
11	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	46
11	"f"	22	"red"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
11	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	37
11	"f"	24	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"3.high"	"2.medium"	29
11	"f"	21	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	38
11	"m"	18	"red"	"2.Zurich"	"1.HighSchool"	"1.No"	"3.high"	"2.medium"	70
12	"m"	24	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"2.medium"	"2.medium"	49
12	"m"	30	"blonde"	"2.Zurich"	"4.PhD"	"1.No"	"2.medium"	"2.medium"	48
12	"m"	23	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"2.medium"	"1.low"	35
12	"m"	22	"red"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"2.medium"	"1.low"	21
12	"m"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"2.medium"	68
12	"m"	19	"blonde"	"2.Zurich"	"1.HighSchool"	"1.No"	"1.low"	"1.low"	29
12	"f"	26	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"3.high"	92
12	"m"	18	"red"	"1.Basel"	"1.HighSchool"	"2.Yes"	"1.low"	"3.high"	49
12	"f"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	49
12	"f"	25	"blonde"	"2.Zurich"	"3.Masters"	"2.Yes"	"2.medium"	"1.low"	84
12	"m"	22	"brown"	"2.Zurich"	"3.Masters"	"2.Yes"	"3.high"	"3.high"	76
12	"m"	19	"red"	"1.Basel"	"1.HighSchool"	"2.Yes"	"1.low"	"2.medium"	36
12	"m"	18	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"1.low"	"1.low"	15
12	"f"	18	"blonde"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	78
12	"m"	21	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	34
12	"f"	22	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	51
12	"m"	25	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"2.medium"	58
12	"m"	21	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	20
12	"f"	24	"brown"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	92
12	"m"	19	"red"	"1.Basel"	"1.HighSchool"	"2.Yes"	"3.high"	"3.high"	52
13	"m"	24	"brown"	"1.Basel"	"3.Masters"	"1.No"	"2.medium"	"3.high"	41
13	"f"	27	"blonde"	"2.Zurich"	"4.PhD"	"1.No"	"3.high"	"1.low"	31
13	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	77
13	"m"	23	"red"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	49
13	"m"	25	"brown"	"3.Geneva"	"3.Masters"	"2.Yes"	"3.high"	"1.low"	81
13	"m"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	54
13	"m"	19	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"1.low"	"3.high"	32
13	"m"	24	"red"	"3.Geneva"	"3.Masters"	"2.Yes"	"3.high"	"2.medium"	9
13	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"2.medium"	68
13	"m"	21	"blonde"	"1.Basel"	"2.Bachelors"	"2.Yes"	"3.high"	"3.high"	41
13	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	28
13	"m"	22	"red"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	42
13	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	48
13	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	90
13	"m"	21	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	34
13	"f"	20	"red"	"1.Basel"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	32
13	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	83
13	"f"	23	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"1.low"	"1.low"	3
13	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	14
13	"m"	22	"red"	"3.Geneva"	"3.Masters"	"2.Yes"	"3.high"	"2.medium"	53
14	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	26
14	"f"	19	"blonde"	"2.Zurich"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	21
14	"f"	24	"brown"	"1.Basel"	"3.Masters"	"1.No"	"2.medium"	"3.high"	68
14	"m"	29	"red"	"3.Geneva"	"4.PhD"	"1.No"	"1.low"	"3.high"	80
14	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	74
